Title,Matched Title,Author(s),Series,Publisher,Publish Year,ISBN,OL Work Key
Dragons of Autumn Twilight,Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman, Paul Boehmer, Andrew Dabb, Steve Kurth, Stefano Raffaele, Margarett Weiss",,,1984,,https://openlibrary.org/works/OL73410W
Dragons of Winter Night,Dragons of Winter Night,"Margaret Weis, Tracy Hickman, Paul Boehmer",,,1985,,https://openlibrary.org/works/OL73412W
Dragons of Spring Dawning,Dragons of Spring Dawning,"Margaret Weis, Tracy Hickman, Andrew Dabb, Paul Boehmer",,,1900,,https://openlibrary.org/works/OL73427W
Time of the Twins,Time of the Twins,"Margaret Weis, Tracy Hickman",,,1996,,https://openlibrary.org/works/OL15108380W
War of the Twins,War of the Twins,"Margaret Weis, Tracy Hickman",,,1986,,https://openlibrary.org/works/OL73438W
Test of the Twins,Test of the Twins,"Margaret Weis, Tracy Hickman",,,1986,,https://openlibrary.org/works/OL73424W
The Magic of Krynn,The Magic of Krynn,"Margaret Weis, Tracy Hickman",,,1987,,https://openlibrary.org/works/OL15108361W
"""Kender, Gully Dwarves and Gnomes""","Kender, Gully Dwarves and Gnomes","Margaret Weis, Tracy Hickman",,,1987,,https://openlibrary.org/works/OL15108348W
Love and War,Love and War,John Jakes,,,1984,,https://openlibrary.org/works/OL56099W
The Legend of Huma,The Legend of Huma,Richard A. Knaak,,,1988,,https://openlibrary.org/works/OL2992966W
Stormblade,Stormblade,Nancy Varian Berberick,,,1988,,https://openlibrary.org/works/OL4652689W
Weasel’s Luck,Weasel's luck,Michael Williams,,,1988,,https://openlibrary.org/works/OL4652801W
Darkness & Light,The dark side of the light chasers,Debbie Ford,,,1998,,https://openlibrary.org/works/OL1836890W
Kendermore,Kendermore,Mary Kirchoff,,,1989,,https://openlibrary.org/works/OL7970900W
Brothers Majere,Brothers Majere,"Stein, Kevin",,,2003,,https://openlibrary.org/works/OL3945557W
Riverwind the Plainsman,"Riverwind the Plainsman (Dragonlance: Preludes, Volume 4)",Paul B. Thompson,,,1990,,https://openlibrary.org/works/OL14935380W
Flint the King,Flint the king,Mary Kirchoff,,,1990,,https://openlibrary.org/works/OL7970899W
Kaz the Minotaur,Kaz the Minotaur,"Richard A. Knaak, Herminia Dauer",,,1990,,https://openlibrary.org/works/OL2992960W
The Gates of Thorbardin,The gates of Thorbardin,Dan Parkinson,,,1991,,https://openlibrary.org/works/OL4323281W
Tanis: The Shadow Years,"Tanis, the Shadow Years","Barbara Siegel, Scott Siegel",,,1990,,https://openlibrary.org/works/OL16062621W
Galen Beknighted,Galen Beknighted (Dragonlance Heroes II : Vol.3),Michael Williams,,,1990,,https://openlibrary.org/works/OL4652737W
Firstborn,"Firstborn (Dragonlance Elven Nations, Vol 1)",Paul B. Thompson,,,1991,,https://openlibrary.org/works/OL14935363W
