Title,Matched Title,Author(s),Series,Publisher,Publish Year,ISBN,OL Work Key,GB Matched Title,GB Series,GB Series #,GB Summary
Dragons of Autumn Twilight,Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman, Paul Boehmer, Andrew Dabb, Steve Kurth, Stefano Raffaele, Margarett Weiss",,,1984,,https://openlibrary.org/works/OL73410W,Dragons of Autumn Twilight,,,
Dragons of Winter Night,Dragons of Winter Night,"Margaret Weis, Tracy Hickman, Paul Boehmer",,,1985,,https://openlibrary.org/works/OL73412W,Dragons of Winter Night,,,"""Dragons. Creatures of legend. Stories told to children. But now dragons have returned to Krynn. The darkness of war and destruction engulfs the land. A small band of heroes brings hope to the land. But the hope is fragile as a rose and may be lost completely, shattered by the bitter winds of winter. Knight and barbarian, warrior and half-elf, dwarf and kender and dark-souled mage; they begin a perilous search for two artifacts that may help them or lead to their destruction--the Dragon Orb and the legendary Dragonlance.""--Jacket."
Dragons of Spring Dawning,Dragons of Spring Dawning,"Margaret Weis, Tracy Hickman, Andrew Dabb, Paul Boehmer",,,1900,,https://openlibrary.org/works/OL73427W,Dragons of Spring Dawning,,,"The third Dragonlance title ever published, now available for the first time in hardcover."
Time of the Twins,Time of the Twins,"Margaret Weis, Tracy Hickman",,,1996,,https://openlibrary.org/works/OL15108380W,Time of the Twins,,,"About the author: Margaret Weis is the author of numerous Dragonlance novels, many of them co-written with Tracy Hickman or Don Perrin, including the recent New York Times best-seller Dragons of a Vanished Moon. She is also the author of The Soulforge and the Star of the Guardian novels. Tracy Hickman, in addition to his work on several Dragonlance novels, has co-authored with Margaret Weis the Darksword series and the Death Gate Cycle. He is the designer of the game setting Starshield and is the author of the futuristic novel The Immortals."
War of the Twins,War of the Twins,"Margaret Weis, Tracy Hickman",,,1986,,https://openlibrary.org/works/OL73438W,War of the Twins,,,"Raistlin, the enigmatic but evil magic-user, gathers his powers to destroy the Queen of Darkness, but his twin brother, Caramon, together with Tasslehoff the Kender, braves overwhelming odds in a distant time dimension to stop him. Reprint."
Test of the Twins,Test of the Twins,"Margaret Weis, Tracy Hickman",,,1986,,https://openlibrary.org/works/OL73424W,Test of the Twins,,,"Caramon must travel back and forth in time in order to save the world from his twin brother, Raistlin, who has become the Master of the Tower of High Sorcery. Originally in paperback. 50,000 first printing."
The Magic of Krynn,The Magic of Krynn,"Margaret Weis, Tracy Hickman",,,1987,,https://openlibrary.org/works/OL15108361W,The Magic of Krynn,,,
"""Kender, Gully Dwarves and Gnomes""","Kender, Gully Dwarves and Gnomes","Margaret Weis, Tracy Hickman",,,1987,,https://openlibrary.org/works/OL15108348W,"Kender, gully dwarves and gnomes",,,
Love and War,Love and War,John Jakes,,,1984,,https://openlibrary.org/works/OL56099W,,,,
The Legend of Huma,The Legend of Huma,Richard A. Knaak,,,1988,,https://openlibrary.org/works/OL2992966W,The Legend of Huma,,,"In the realms of Dragonlance, the tale of one knight is legendary. The dark goddess Takhisis has unleashed evil on the world of Krynn, and only the Knights of Solamnia stand in her way. From amongst their ranks comes Huma, a man destined to be the greatest hero of this world."
Stormblade,Stormblade,Nancy Varian Berberick,,,1988,,https://openlibrary.org/works/OL4652689W,Stormblade,,,
Weasel’s Luck,Weasel's luck,Michael Williams,,,1988,,https://openlibrary.org/works/OL4652801W,Weasel's Luck,,,"The world’s least promising knight gets his first taste of high-stakes adventure in this rollicking and fantastical Dragonlance tale Weasel's luck was not always good . . . Galen Pathwarden, known as ""the Weasel"", would give anything to stay clear of adventure, danger, or heroism. Cowardly, deceitful, and hardly noble—and mired in a backwater castle far from any action—he bickers with his siblings and schemes against his elders. But one fateful night, Galen’s dreary life is turned upside down when a sinister visitor arrives bearing gold, unspeakable magic, and a centuries’ old curse. The encounter launches Galen on a bizarre quest into swamp and forest, headed toward a mythical fortress. With the great Solamnic Knight, Sir Bayard Brightblade, and a none-too-bright centaur named Agion at his side, Galen must overcome the schemes and traps of a sinister illusionist known only as the Scorpion."
Darkness & Light,The dark side of the light chasers,Debbie Ford,,,1998,,https://openlibrary.org/works/OL1836890W,,,,
Kendermore,Kendermore,Mary Kirchoff,,,1989,,https://openlibrary.org/works/OL7970900W,Kendermore,,,"Beloved kender Tasslehoff Burrfoot encounters marriage, magic, monsters, and mayhem in this Preludes novel set before the War of the Lance While carousing at the Inn of the Last Home, carefree kender Tasslehoff Burrfoot is snared by a bounty hunter whose assignment is to ensure the return of the light-fingered escape artist to his homeland. It seems his beloved Uncle Trapspringer is being held prisoner by the venerable council of elders—until Tas honors Kender marriage tradition, that is. But before he can say “I do,” Tasslehoff’s betrothed pulls a disappearing act of her own. The race is on to see who gets dragged to the altar first. But not only must Tas dodge matrimony, he must elude a capricious wizard set on pickling one of every creature on Krynn, cheer up the last existing woolly mammoth, foil a most determined and deadly assassin, and—in the end—save Kendermore."
Brothers Majere,Brothers Majere,"Stein, Kevin",,,2003,,https://openlibrary.org/works/OL3945557W,Brothers Majere,,,"Twins Raistlin and Caramon investigate a frightening string of disappearances and murders in this prequel novel to the Dragonlance Chronicles Darkness and unrest are growing. People disappear in the night, and there are rumors of foul forces at work. To this land caught in the grips of a nameless terror come Raistlin and Caramon Majere, two brothers—one a wizard, one a warrior—who are trying to eke out a living on the backroads of Ansalon. Desperate for money, they agree to take on a job in the backwater village of Mereklar, where a series of disappearances has sent everyone into a panic. A beautiful noblewoman persuades Raistlin, Caramon, and their kender companion, Earwig Lockpicker, to search for the missing. But what starts out as an intriguing mystery turns sinister when the town’s leading citizens are murdered by what appears to be a violent feline beast. A ball of string, an ancient legend, and three magically glowing lines lead the twins to the truth—and to a confrontation wit…"
Riverwind the Plainsman,"Riverwind the Plainsman (Dragonlance: Preludes, Volume 4)",Paul B. Thompson,,,1990,,https://openlibrary.org/works/OL14935380W,Riverwind the Plainsman,,,"Desperate to win the hand of his chieftan's daughter, Riverwind embarks on a dangerous mission to find the fabled Blue Crystal Staff To prove himself worthy of his great love, Goldmoon, Riverwind is sent on an impossible quest by the elders of the Que-Shu tribe: Find evidence of the true gods. With an eccentric soothsayer named Catchflea, Riverwind falls down a magical shaft, and alights in a world of slavery, sorcery, and rebellion. As Riverwind, Catchflea, and a resourceful elf-girl find their way to Xak Tsaroth—and discover the Blue Crystal Staff of Miashakal—they are stalked by fate and prophecy. For it is said that one of them will go mad, one will die, and one will find glory."
Flint the King,Flint the king,Mary Kirchoff,,,1990,,https://openlibrary.org/works/OL7970899W,Flint the King,,,"When Flint Fireforge becomes the reluctant king of the gully dwarves, he learns the true meaning of heroism and leadership Flint Fireforge, paternal dwarven member of the Heroes of the Lance, returns to his sleepy boyhood village in the foothills near Solace to investigate his brother’s murder. Upon his arrival, he finds Hillhome unexpectedly booming with commerce. But when he stumbles upon the ominous source of this prosperity—an alliance with an enemy dwarf race—he is pushed to the death in the Beast Pit. Even more unexpectedly, the gully dwarves and an interesting—and interested—female dwarf come to his rescue. Made their monarch against his will, Flint struggles to unite the scruffy dwarves into one fighting force that will not only thwart the agents of the Dark Queen but help him bring his brother’s killer to justice."
Kaz the Minotaur,Kaz the Minotaur,"Richard A. Knaak, Herminia Dauer",,,1990,,https://openlibrary.org/works/OL2992960W,"Kaz, the Minotaur",,,
The Gates of Thorbardin,The gates of Thorbardin,Dan Parkinson,,,1991,,https://openlibrary.org/works/OL4323281W,The Gates of Thorbardin,,,"Magic and peril run rampant beneath the earth in this Dragonlance Heroes novel about Krynn's forgotten dwarven heroes Legends tell that beneath the mountain fortress of Skullcap lie the remains of the dark wizard Fistandantilus and the path to the gates of the ancient dwarven kingdom of Thorbardin. Buried somewhere along that perilous path is the magical helm of Grallen, son of King Duncan, tragic hero of the Dwarfgate War. Finding Grallen’s helm, it is prophesied, will herald the return of a united Thorbardin—but it will also open the gates of the realm to fresh horror and chaos. Now, one exiled dwarf’s dreams of the fabled helm will lead him on an adventure to glory. Or will it lead to his ultimate doom?"
Tanis: The Shadow Years,"Tanis, the Shadow Years","Barbara Siegel, Scott Siegel",,,1990,,https://openlibrary.org/works/OL16062621W,Tanis the Shadow Years,,,"The sixth and final book in the Preludes series follows Tanis Half-Elven on a dangerous adventure through time and memory The tale is told that Tanis Half-Elven once disappeared in the mountains near Solace. He returned changed, ennobled—and with a secret. No one knew what happened to him in those mist-shrouded peaks. Until now. Accompanied by his new dwarf acquaintance, Clotnik, Tanis chases after information about his mysterious and long-dead father. His search leads him to Kishpa, a dying, lovesick mage who holds the answers to Tanis’ burning questions—but who needs Tanis’ help first. So begins a wild adventure in which Tanis becomes a traveler in Kishpa’s memory, journeying into the past to fight an impossible battle against time itself."
Galen Beknighted,Galen Beknighted (Dragonlance Heroes II : Vol.3),Michael Williams,,,1990,,https://openlibrary.org/works/OL4652737W,Galen Beknighted,,,"The world’s most reluctant knight, Galen Pathwarden, returns for another misadventure in this exciting sequel to Weasel’s Luck Becoming a knight has changed the Weasel very little. Galen Pathwarden is still wary of seeking adventure—and still out to save his own skin at virtually any cost. But when his brother Brithelm vanishes mysteriously, Galen sets aside his better judgment and embarks on a quest that leads him under the earth, deep into a conspiracy of darkness, and to the very end of his courage. Once more, this reluctant knight returns to the imperiled nation of Solamnia, where he will learn if he has what it takes to be a true hero."
Firstborn,"Firstborn (Dragonlance Elven Nations, Vol 1)",Paul B. Thompson,,,1991,,https://openlibrary.org/works/OL14935363W,Firstborn,,,"Return to the Dragonlance universe with this classic story about the rise of Krynn’s eleven nations Silvanos Goldeneye, the august founder of the united eleven nation known as Silvanesti, lies buried in a crystal tomb. Now, the leadership of the clans and households falls to his son, Sithel, who is himself the father of rival twins Sithas and Kith-Kanan. Both brothers represent different emerging factions among the Silvanesti: While Sithas allies himself closely with the court and encourages the elves to withdraw from contact with other races, Kith and his Wildrunners forge connections and trade goods with the humans of Ergoth. When Sithel is assassinated—and Kith is vaguely implicated—the tensions between the two brothers escalate to dangerous heights. As the world of Krynn watches, a new elven nation rises from the strife . . ."
Kindred Spirits,Kindred Spirits,"Mark Anthony, Ellen Porath",,,1991,,https://openlibrary.org/works/OL18441133W,Kindred Spirits,,,"The origin story of a legendary friendship: When his new companion is accused of murder, Flint Fireforge must find a way to clear the half-elf's name When Flint Fireforge, dwarf and metalsmith, receives a wondrous summons from the Speaker of the Sun, he journeys to the fabled elven city of Qualinost. There, he meets Tanis, a thoughtful youth born of a tragic union between elf and man. Tanis and Flint, each a misfit in his own way, find themselves unlikely friends. But a pompous elf lord is mysteriously slain, and another elf soon meets the same fate. Tanis stands accused, and if his innocence cannot be proven, the half-elf will be banished forever. Solving the mystery will be a perilous task. Time is on the murderer's side—and he is not finished yet."
The Kinslayer Wars,The Kinslayer Wars,Douglas Niles,,,1991,,https://openlibrary.org/works/OL1635386W,The Kinslayer Wars,,,The second title of a classic trilogy that tells the story of Krynn's Elven Nations Divided is now back in print. Reissue.
Wanderlust,Wanderlust (Dragonlance,"Steve Winter, Mary L. Kirchoff",,,1991,,https://openlibrary.org/works/OL14955709W,Wanderlust,,,"The second exciting installment in the Dragonlance saga Meetings Sextet—from husband and wife team Steve Winter and Mary Kirchoff One spring day Tasslehoff Burrfoot comes to Solace, accidentally pockets a copper bracelet, and (forcibly) makes the acquaintance of Tanis Half-Elven and dwarf Flint Fireforge. It’s a simple tale—except that the fate of the entire race of Dargonesti sea elves hangs in the balance. How does this piece of kender-coveted jewelry lead the companions and a sea elf princess to ally with the phaethons, creatures with wings of flame? The answer lies with a mysterious mage, a broker of souls, who knows the bracelet's secret and has a hideous plan to rule the Black Robes . . ."
