Title,Author(s),Publisher,Publish Year,ISBN,OL Work Key,Page Count,Categories,Description,Cover Image
Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman, Paul Boehmer, Andrew Dabb, Steve Kurth, Stefano Raffaele, Margarett Weiss",,1984,,https://openlibrary.org/works/OL73410W,,,,
Dragons of Winter Night,"Margaret Weis, Tracy Hickman, Paul Boehmer",,1985,,https://openlibrary.org/works/OL73412W,196,Dragons,,http://books.google.com/books/content?id=nFqpZ3it8F0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Dragons of Spring Dawning,"Margaret Weis, Tracy Hickman, Andrew Dabb, Paul Boehmer",,1900,,https://openlibrary.org/works/OL73427W,379,Dragons,"Finally armed with dragonlances, a group of heroes, composed of a knight, barbarian, dwarf, and half-elf, face a deadly showdown with the evil dragons and Takhisis, the Queen of Darkness.",http://books.google.com/books/content?id=YrLNPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Time Of The Twins,Andrew Dabb,,2008,,https://openlibrary.org/works/OL17521695W,144,"Fantasy comic books, strips, etc","Despite his considerable physical decline, Caramon undertakes a quest to save Raistlin from evil. Can Caramon even hope to save his twin brother? At the same time, the beautiful cleric Crysania has undergone a mission to redeem Raistin. Will she meet success or be drawn into evil as well? Can a reunion of the Companions be far behind?",http://books.google.com/books/content?id=vsJ_kQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
War of the Twins,"Margaret Weis, Tracy Hickman",,1986,,https://openlibrary.org/works/OL73438W,,,,
Test of the Twins,"Margaret Weis, Tracy Hickman",,1986,,https://openlibrary.org/works/OL73424W,,,,
The Magic of Krynn,"Margaret Weis, Tracy Hickman",,1987,,https://openlibrary.org/works/OL15108361W,350,American fiction,,http://books.google.com/books/content?id=j4FfRwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Kender, Gully Dwarves and Gnomes","Margaret Weis, Tracy Hickman",,1987,,https://openlibrary.org/works/OL15108348W,364,Fiction,"This collection of nine tales about the minor races of Krynn--the lovable, mischievous, and brave sidekicks of the ""Dragonlance"" heroes--also includes a novella by the editors. Reprint.",http://books.google.com/books/content?id=uljvHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Love and War,John Jakes,Berkley,1984,,https://openlibrary.org/works/OL56099W,1092,Fiction,"#1 New York Times bestselling author John Jakes presents part two of the epic North and South Trilogy—the Civil War saga that inspired the classic television miniseries North and South—with over five million copies sold! “Massive, lusty, highly readable…A graphic, fast-paced amalgam of good, evil, love, lust, war, violence, and Americana.”—The Washington Post Book World From the first shots at Fort Sumter, the Hazards and the Mains are divided against each other—and themselves. Some will experience the horrors of war on the front lines on some of the bloodiest battlefields of the Civil War. Some will give their lives for their beliefs. But all will be caught in the triumph and tragedy of a conflict that destroyed a country’s innocence—and forged a nation.",http://books.google.com/books/content?id=XR4SWcovLNAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Legend of Huma,"Brian Augustyn, Sean J. Jordan, Trampas Whitman",Wizards of the Coast,2017,,https://openlibrary.org/works/OL20196863W,367,Fiction,"New York Times bestseller: In the realms of Dragonlance, the legend of one heroic knight is larger than life . . . When word spreads that goblins are roaming nearby, Huma Dragonbane, a Knight of the Crown, is sent to patrol the woods and fend off chaos. It is there that he stumbles upon a tortured minotaur, Kaz, who he swiftly frees from vicious goblin captors. So beings an unlikely but powerful friendship—one that will plunge Huma and Kaz into a deadly battle against the treacherous Knights of Solamnia and the dark goddess Takhisis. Even with the power of the legendary Silver Dragon at their side, Huma and Kaz face overwhelming odds . . . Only fragments of the account of Huma survived the Cataclysm that broke the world of Krynn. His story has never been fully told—until now.",http://books.google.com/books/content?id=hHrm8u3SUBEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Stormblade,Nancy Varian Berberick,,1988,,https://openlibrary.org/works/OL4652689W,,,,
Weasel's luck,"Williams, Michael",Wizards of the Coast,2004,,https://openlibrary.org/works/OL2643209W,334,Fiction,"The world’s least promising knight gets his first taste of high-stakes adventure in this rollicking and fantastical Dragonlance tale Weasel's luck was not always good . . . Galen Pathwarden, known as ""the Weasel"", would give anything to stay clear of adventure, danger, or heroism. Cowardly, deceitful, and hardly noble—and mired in a backwater castle far from any action—he bickers with his siblings and schemes against his elders. But one fateful night, Galen’s dreary life is turned upside down when a sinister visitor arrives bearing gold, unspeakable magic, and a centuries’ old curse. The encounter launches Galen on a bizarre quest into swamp and forest, headed toward a mythical fortress. With the great Solamnic Knight, Sir Bayard Brightblade, and a none-too-bright centaur named Agion at his side, Galen must overcome the schemes and traps of a sinister illusionist known only as the Scorpion.",http://books.google.com/books/content?id=1CU9mvB2_rUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The dark side of the light chasers,Debbie Ford,Penguin,1998,,https://openlibrary.org/works/OL1836890W,209,Self-Help,"The bestselling, beloved classic on how to go into the dark side of yourself to bring out the light -- now with new material. Debbie Ford believes that we each hold within us a trace of every human characteristic that exists, the capacity for every human emotion. We are born with the ability to express this entire spectrum of characteristics. But, Ford points out, our families and our society send us strong messages about which ones are good and bad. So when certain impulses arise, we deny them instead of confronting them, giving them a healthy voice, then letting them go. It is to these feelings that Ford turns our attention, these parts of our selves that don't fit the personae we have created for the rest of the world. She shows us the effects of living in the dark, of keeping all our supposedly unsavory impulses under wraps. We find ourselves disproportionately frustrated and angry at the selfishness of friends, the laziness of colleagues, the arrogance of siblings. When we are unable to reconcile similar impulses in ourselves, Ford explains, we waste our own energy judging others instead of empathizing. But most important, we deny ourselves the power and freedom of living authentically. Through the stories and exercises in The Dark Side of the Light Chasers, Debbie Ford shows us not only how to recognize our hidden emotions, but also how to find the gifts they offer us. This is for fans of Marianne Williamson, Neale Donald Walsch, and Deepak Chopra. The very impulses we most fear may be the key to what is lacking in our lives.",http://books.google.com/books/content?id=B2sTXsTO-UIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
